Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1kGO54rUtSq3FQ74u5BGvm,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,1,I feel Irish ,64583d698d4840269d742a920e10e616
spotify:track:7bxrNIfX0TYBsAXDiEfEao,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,2,,64583d698d4840269d742a920e10e616
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,3,+1 simply for that comment,64583d698d4840269d742a920e10e616
spotify:track:6KCjY5kHvgWaWcAV6BBzxO,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,1,Yeah,64583d698d4840269d742a920e10e616
spotify:track:5aBXBxjAl8mFI0EAPjUJdX,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,3,This one forced me to think beyond my preconceived notions of questing music and I am greatful ,64583d698d4840269d742a920e10e616
spotify:track:3xtiXNDbSKxy20I7D6vFUg,15bf2a4d72b347cebc478fb102de1c25,2024-10-25T13:46:09Z,2,yeah,64583d698d4840269d742a920e10e616
spotify:track:3dPQuX8Gs42Y7b454ybpMR,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,1,,64583d698d4840269d742a920e10e616
spotify:track:7bxrNIfX0TYBsAXDiEfEao,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,2,,64583d698d4840269d742a920e10e616
spotify:track:6KCjY5kHvgWaWcAV6BBzxO,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,2,,64583d698d4840269d742a920e10e616
spotify:track:5JXtkWtuqS8Dm8sKbtPGWa,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,3,,64583d698d4840269d742a920e10e616
spotify:track:3xtiXNDbSKxy20I7D6vFUg,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,2,,64583d698d4840269d742a920e10e616
spotify:track:1kGO54rUtSq3FQ74u5BGvm,65aa52ac1d42438fb744b5655da98f64,2024-10-26T15:42:26Z,2,,64583d698d4840269d742a920e10e616
spotify:track:1kGO54rUtSq3FQ74u5BGvm,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,2,,64583d698d4840269d742a920e10e616
spotify:track:3dPQuX8Gs42Y7b454ybpMR,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,1,,64583d698d4840269d742a920e10e616
spotify:track:3xtiXNDbSKxy20I7D6vFUg,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,2,,64583d698d4840269d742a920e10e616
spotify:track:5aBXBxjAl8mFI0EAPjUJdX,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,1,,64583d698d4840269d742a920e10e616
spotify:track:5cuYAzN27HxE18yw1EyIrH,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,2,,64583d698d4840269d742a920e10e616
spotify:track:6KCjY5kHvgWaWcAV6BBzxO,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,1,,64583d698d4840269d742a920e10e616
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,e580b923dc8f44e78cf35113291d52d5,2024-10-28T04:15:32Z,3,,64583d698d4840269d742a920e10e616
spotify:track:7bxrNIfX0TYBsAXDiEfEao,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,1,,64583d698d4840269d742a920e10e616
spotify:track:3dPQuX8Gs42Y7b454ybpMR,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,1,,64583d698d4840269d742a920e10e616
spotify:track:3xtiXNDbSKxy20I7D6vFUg,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,2,,64583d698d4840269d742a920e10e616
spotify:track:5aBXBxjAl8mFI0EAPjUJdX,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,2,,64583d698d4840269d742a920e10e616
spotify:track:5cuYAzN27HxE18yw1EyIrH,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,2,,64583d698d4840269d742a920e10e616
spotify:track:5JXtkWtuqS8Dm8sKbtPGWa,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,1,,64583d698d4840269d742a920e10e616
spotify:track:6KCjY5kHvgWaWcAV6BBzxO,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,2,,64583d698d4840269d742a920e10e616
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,c9be872fd5074ab1b5783d466d3c8dc1,2024-10-28T21:25:11Z,1,,64583d698d4840269d742a920e10e616
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,1b0c80b1a93d4a32b374c2e8e2216fc0,2024-10-28T21:50:36Z,3,,64583d698d4840269d742a920e10e616
